Q,ID,Facility,2023 tons,2023 share,2024 tons,2024 share,Residual,Bar share,Loc
1,26-06,Gibson Generating Station RWS 1 South Landfill,340880.0,97.74,349960.0,97.43,9080.0,72.43,centroid
2,26-06,Gibson Generating Station RWS 1 South Landfill,320810.0,97.43,286300.0,96.96,-34510.0,72.43,centroid
3,26-06,Gibson Generating Station RWS 1 South Landfill,422360.0,98.19,505615.0,98.47,83255.0,72.43,centroid
4,26-06,Gibson Generating Station RWS 1 South Landfill,348440.0,97.42,365810.0,98.06,17370.0,72.43,centroid
1,63-04,Advanced Disposal Services Blackfoot Landfill,4263.0,1.22,5987.2,1.67,1724.3,3.11,point
2,63-04,Advanced Disposal Services Blackfoot Landfill,4535.1,1.38,4914.5,1.66,379.3,3.11,point
3,63-04,Advanced Disposal Services Blackfoot Landfill,4892.0,1.14,4649.8,0.91,-242.3,3.11,point
4,63-04,Advanced Disposal Services Blackfoot Landfill,6295.1,1.76,4437.1,1.19,-1858.0,3.11,point
1,63-07,Velpen CD Landfill,1383.1,0.40,1143.6,0.32,-239.5,3.60,centroid
2,63-07,Velpen CD Landfill,1643.0,0.50,1142.1,0.39,-500.9,3.60,centroid
3,63-07,Velpen CD Landfill,925.4,0.22,1406.0,0.27,480.6,3.60,centroid
4,63-07,Velpen CD Landfill,1077.0,0.30,867.4,0.23,-209.6,3.60,centroid
1,82-02,Laubscher Meadows Landfill,1554.7,0.45,1243.9,0.35,-310.8,3.61,point
2,82-02,Laubscher Meadows Landfill,1525.0,0.46,1242.8,0.42,-282.1,3.61,point
3,82-02,Laubscher Meadows Landfill,1118.0,0.26,992.2,0.19,-125.8,3.61,point
4,82-02,Laubscher Meadows Landfill,1038.5,0.29,947.3,0.25,-91.2,3.61,point
1,82-20,Evansville Transfer Station,344.6,0.10,518.2,0.14,173.6,4.00,point
2,82-20,Evansville Transfer Station,418.4,0.13,419.4,0.14,1.0,4.00,point
3,82-20,Evansville Transfer Station,498.0,0.12,534.0,0.10,36.0,4.00,point
4,82-20,Evansville Transfer Station,405.7,0.11,690.1,0.19,284.4,4.00,point
1,49-64,"Covanta Environmental Solutions, LLC",284.1,0.08,321.1,0.09,37.0,0.56,centroid
2,49-64,"Covanta Environmental Solutions, LLC",345.7,0.10,402.8,0.14,57.1,0.56,centroid
3,49-64,"Covanta Environmental Solutions, LLC",365.5,0.08,249.3,0.05,-116.2,0.56,centroid
4,49-64,"Covanta Environmental Solutions, LLC",405.9,0.11,254.3,0.07,-151.6,0.56,centroid
2,87-13,Warrick Processing Center,,,833.4,0.28,,,centroid
4,10-01,Clark Floyd Landfill,,,15.8,0.00,,,point
1,42-09,Vincennes Transfer Station,,,3.0,0.00,,,point
3,42-09,Vincennes Transfer Station,,,11.0,0.00,,,point
4,42-09,Vincennes Transfer Station,,,7.0,0.00,,,point
3,84-06,Sycamore Ridge Landfill,,,8.0,0.00,,,point
1,32-02,Twin Bridges Landfill,,,3.5,0.00,,,point
4,32-02,Twin Bridges Landfill,,,4.4,0.00,,,point
2,53-009,Monroe County Resource Recovery Facility,,,3.8,0.00,,,point
1,49-066,CW Recycling LLC,,,3.7,0.00,,,point
2,49-066,CW Recycling LLC,,,1.9,0.00,,,point
1,45-47,"Tradebe Treatment & Recycling, LLC",,,0.6,0.00,,,point
1,49-61,CYNTOX LLC,0.5,0.00,0.2,0.00,-0.3,0.56,centroid
2,49-61,CYNTOX LLC,0.3,0.00,0.5,0.00,0.2,0.56,centroid
3,49-61,CYNTOX LLC,0.3,0.00,0.3,0.00,0.1,0.56,centroid
4,49-61,CYNTOX LLC,0.6,0.00,0.2,0.00,-0.3,0.56,centroid
1,49-57,"Clean Earth Environmental Solutions, Inc.",0.0,0.00,0.0,0.00,-0.0,0.32,point
2,49-57,"Clean Earth Environmental Solutions, Inc.",0.1,0.00,0.1,0.00,0.0,0.32,point
3,49-57,"Clean Earth Environmental Solutions, Inc.",,,0.1,0.00,,,point
4,49-57,"Clean Earth Environmental Solutions, Inc.",0.1,0.00,0.1,0.00,-0.0,0.32,point
1,10-014,Specific Waste Industries LLC,0.1,0.00,0.1,0.00,-0.0,0.71,point
2,10-014,Specific Waste Industries LLC,0.1,0.00,0.1,0.00,0.1,0.71,point
3,10-014,Specific Waste Industries LLC,0.1,0.00,0.1,0.00,0.0,0.71,point
4,10-014,Specific Waste Industries LLC,0.1,0.00,0.1,0.00,0.0,0.71,point
